Ems_loss_v: 0.001962535	ST_loss: 25.230102539	LT_loss: 34.074901581	loss: 0.002021840
Ems_loss_v: 0.001408688	ST_loss: 25.027694702	LT_loss: 17.801923752	loss: 0.001451518
Ems_loss_v: 0.002094919	ST_loss: 21.584861755	LT_loss: 32.162403107	loss: 0.002148666
Ems_loss_v: 0.002153127	ST_loss: 19.775583267	LT_loss: 22.031469345	loss: 0.002194934
Ems_loss_v: 0.002942214	ST_loss: 28.333385468	LT_loss: 30.866682053	loss: 0.003001414
Ems_loss_v: 0.002753095	ST_loss: 17.606348038	LT_loss: 12.340445518	loss: 0.002783042
Ems_loss_v: 0.002193496	ST_loss: 23.529026031	LT_loss: 36.593677521	loss: 0.002253619
Ems_loss_v: 0.002210859	ST_loss: 17.537584305	LT_loss: 2.470873594	loss: 0.002230867
Ems_loss_v: 0.001937786	ST_loss: 29.314596176	LT_loss: 51.450790405	loss: 0.002018551
Ems_loss_v: 0.001916429	ST_loss: 20.612020493	LT_loss: 12.749057770	loss: 0.001949791
Ems_loss_v: 0.001964851	ST_loss: 29.845672607	LT_loss: 31.997623444	loss: 0.002026694
Ems_loss_v: 0.002438828	ST_loss: 29.457324982	LT_loss: 37.314346313	loss: 0.002505600
Ems_loss_v: 0.001434718	ST_loss: 19.118701935	LT_loss: 22.138381958	loss: 0.001475975
Ems_loss_v: 0.001798898	ST_loss: 23.939048767	LT_loss: 48.216358185	loss: 0.001871054
Ems_loss_v: 0.002083355	ST_loss: 32.557319641	LT_loss: 38.034591675	loss: 0.002153947
Ems_loss_v: 0.002026447	ST_loss: 24.667715073	LT_loss: 18.822544098	loss: 0.002069937
Ems_loss_v: 0.001885696	ST_loss: 24.885852814	LT_loss: 27.757318497	loss: 0.001938340
Ems_loss_v: 0.002082969	ST_loss: 23.970336914	LT_loss: 24.629472733	loss: 0.002131569
Ems_loss_v: 0.002349493	ST_loss: 27.034378052	LT_loss: 19.612684250	loss: 0.002396140
Ems_loss_v: 0.002641204	ST_loss: 19.427007675	LT_loss: 18.914842606	loss: 0.002679546
Ems_loss_v: 0.003050043	ST_loss: 26.412361145	LT_loss: 5.822931290	loss: 0.003082278
Ems_loss_v: 0.002516945	ST_loss: 21.792915344	LT_loss: 17.181592941	loss: 0.002555920
Ems_loss_v: 0.002172368	ST_loss: 25.607938766	LT_loss: 23.081861496	loss: 0.002221058
Ems_loss_v: 0.002316120	ST_loss: 22.395862579	LT_loss: 29.913196564	loss: 0.002368429
Ems_loss_v: 0.002440404	ST_loss: 26.670946121	LT_loss: 9.483283997	loss: 0.002476558
Ems_loss_v: 0.002233756	ST_loss: 19.818113327	LT_loss: 50.324115753	loss: 0.002303898
Ems_loss_v: 0.002029346	ST_loss: 23.848600388	LT_loss: 27.860836029	loss: 0.002081056
Ems_loss_v: 0.003366528	ST_loss: 24.807411194	LT_loss: 0.453782827	loss: 0.003391789
Ems_loss_v: 0.002605465	ST_loss: 27.603744507	LT_loss: 38.567066193	loss: 0.002671636
Ems_loss_v: 0.002194568	ST_loss: 24.222393036	LT_loss: 3.877861500	loss: 0.002222668
Ems_loss_v: 0.002651974	ST_loss: 17.120975494	LT_loss: 23.957611084	loss: 0.002693053
Ems_loss_v: 0.002056110	ST_loss: 21.175508499	LT_loss: 14.270011902	loss: 0.002091556
Ems_loss_v: 0.002206403	ST_loss: 23.908155441	LT_loss: 0.207780734	loss: 0.002230518
Ems_loss_v: 0.002135516	ST_loss: 20.586677551	LT_loss: 22.218709946	loss: 0.002178322
Ems_loss_v: 0.002362083	ST_loss: 22.282918930	LT_loss: 26.308126450	loss: 0.002410674
Ems_loss_v: 0.002516530	ST_loss: 19.935426712	LT_loss: 56.239269257	loss: 0.002592704
Ems_loss_v: 0.001749737	ST_loss: 26.750581741	LT_loss: 7.042628288	loss: 0.001783530
Ems_loss_v: 0.001648610	ST_loss: 30.726713181	LT_loss: 41.838333130	loss: 0.001721175
Ems_loss_v: 0.001567779	ST_loss: 24.463350296	LT_loss: 32.054424286	loss: 0.001624297
Ems_loss_v: 0.002049422	ST_loss: 22.503114700	LT_loss: 24.195304871	loss: 0.002096120
Ems_loss_v: 0.002236127	ST_loss: 21.434297562	LT_loss: 32.408695221	loss: 0.002289970
Ems_loss_v: 0.001876371	ST_loss: 23.065261841	LT_loss: 17.061807632	loss: 0.001916498
Ems_loss_v: 0.002478892	ST_loss: 22.977094650	LT_loss: 17.983745575	loss: 0.002519852
Ems_loss_v: 0.002134352	ST_loss: 25.816879272	LT_loss: 26.428092957	loss: 0.002186597
Ems_loss_v: 0.002644570	ST_loss: 24.156816483	LT_loss: 27.674646378	loss: 0.002696402
Ems_loss_v: 0.001733711	ST_loss: 24.943664551	LT_loss: 14.988245964	loss: 0.001773643
Ems_loss_v: 0.002756574	ST_loss: 24.102245331	LT_loss: 22.272172928	loss: 0.002802948
Ems_loss_v: 0.002340911	ST_loss: 27.197696686	LT_loss: 2.372667074	loss: 0.002370481
Ems_loss_v: 0.002106463	ST_loss: 32.899726868	LT_loss: 40.513168335	loss: 0.002179876
